bits	cover size	capacity
95	260	37
60	187	32
47	174	27
65	211	31
48	190	25
53	176	30
80	206	39
65	165	39
65	175	37
86	215	40
68	208	33
85	198	43
94	211	45
69	194	36
83	205	40
78	215	36
78	203	38
69	211	33
88	194	45
91	211	43
108	207	52
92	215	43
78	201	39
91	188	48
80	214	37
73	196	37
79	198	40
99	201	49
103	196	53
101	205	49
61	208	29
59	200	30
