18	53	33	0.17307692307692307	0.5096153846153846	0.3173076923076923
24	99	46	0.14201183431952663	0.5857988165680473	0.27218934911242604
9	58	27	0.09574468085106383	0.6170212765957447	0.2872340425531915
21	87	42	0.14	0.58	0.28
17	127	42	0.0913978494623656	0.6827956989247311	0.22580645161290322
13	90	35	0.09420289855072464	0.6521739130434783	0.2536231884057971
15	75	34	0.12096774193548387	0.6048387096774194	0.27419354838709675
16	114	34	0.0975609756097561	0.6951219512195121	0.2073170731707317
13	30	34	0.16883116883116883	0.38961038961038963	0.44155844155844154
11	31	35	0.14285714285714285	0.4025974025974026	0.45454545454545453
18	26	28	0.25	0.3611111111111111	0.3888888888888889
