12	26	32	0.17142857142857143	0.37142857142857144	0.45714285714285713
9	13	14	0.25	0.3611111111111111	0.3888888888888889
10	27	27	0.15625	0.421875	0.421875
10	23	28	0.16393442622950818	0.3770491803278688	0.45901639344262296
14	27	26	0.208955223880597	0.40298507462686567	0.3880597014925373
20	36	28	0.23809523809523808	0.42857142857142855	0.3333333333333333
22	28	32	0.2682926829268293	0.34146341463414637	0.3902439024390244
17	36	26	0.21518987341772153	0.45569620253164556	0.3291139240506329
11	33	34	0.14102564102564102	0.4230769230769231	0.4358974358974359
20	13	32	0.3076923076923077	0.2	0.49230769230769234
15	10	26	0.29411764705882354	0.19607843137254902	0.5098039215686274
