bits	cover size	capacity
73	195	37
48	187	26
54	188	29
69	213	32
70	252	28
56	230	24
79	227	35
104	231	45
136	251	54
78	243	32
140	264	53
77	229	34
76	244	31
54	234	23
45	197	23
