bits	cover size	capacity
75	227	33
70	197	36
39	70	56
105	265	40
45	147	31
101	301	34
64	252	25
57	227	25
93	277	34
52	182	29
35	133	26
85	236	36
63	196	32
91	209	44
64	185	35
75	195	38
40	124	32
77	232	33
70	224	31
