bits	cover size	capacity
58	161	36
26	122	21
66	161	41
134	348	39
68	204	33
43	177	24
51	176	29
71	216	33
74	197	38
103	235	44
113	244	46
62	224	28
102	247	41
98	237	41
104	277	38
76	269	28
81	292	28
60	213	28
